player,session,stage,time,timestamp,phase,trial,email_id,email_type,class_val,classification,class_time,confidence,conf_time,accuracy
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":1}",2241,1679677126272,phase 1,1,286,HAM,1,HAM,806,50,2241,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":2}",4131,1679677130570,phase 1,2,262,HAM,1,HAM,2692,45,4131,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":3}",2122,1679677132872,phase 1,3,290,HAM,1,HAM,615,50,2123,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":4}",3219,1679677136245,phase 1,4,24,PHISHING,1,HAM,495,50,3219,0
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":5}",2470,1679677138879,phase 1,5,137,PHISHING,1,HAM,897,45,2470,0
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":6}",1813,1679677140850,phase 1,6,82,PHISHING,1,HAM,524,50,1813,0
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":7}",1912,1679677142917,phase 1,7,298,HAM,1,HAM,750,55,1912,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":8}",2224,1679677145306,phase 1,8,120,PHISHING,0,PHISHING,620,50,2224,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":9}",2037,1679677147503,phase 1,9,336,HAM,0,PHISHING,606,55,2037,0
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":10}",2686,1679677150353,phase 1,10,335,HAM,1,HAM,822,50,2686,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":11}",2028,1679677152535,phase 1,11,100,PHISHING,0,PHISHING,469,50,2028,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":12}",2900,1679677155597,phase 1,12,215,HAM,0,PHISHING,777,45,2900,0
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":13}",1965,1679677157713,phase 1,13,41,PHISHING,0,PHISHING,563,50,1965,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":14}",1978,1679677159842,phase 1,14,196,HAM,1,HAM,438,50,1978,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":15}",2817,1679677162811,phase 1,15,127,PHISHING,0,PHISHING,693,50,2817,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":16}",2402,1679677165363,phase 1,16,157,PHISHING,1,HAM,586,45,2402,0
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":17}",2290,1679677167806,phase 1,17,167,PHISHING,0,PHISHING,437,45,2290,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":18}",2284,1679677170257,phase 1,18,207,HAM,1,HAM,491,55,2284,1
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":19}",3037,1679677173456,phase 1,19,18,PHISHING,1,HAM,985,50,3037,0
900402100722750,room000001,"{""stage"":3,""step"":1,""round"":20}",1982,1679677175605,phase 1,20,328,HAM,0,PHISHING,808,45,1982,0
900402100722750,room000002,"{""stage"":1,""step"":1,""round"":1}",7991,1679677195058,phase 2,1,235,HAM,1,HAM,6519,45,7991,1
900402100722750,room000002,"{""stage"":1,""step"":1,""round"":2}",2875,1679677201126,phase 2,2,359,HAM,1,HAM,1243,55,2876,1
900402100722750,room000002,"{""stage"":1,""step"":1,""round"":3}",2472,1679677211241,phase 2,3,278,HAM,1,HAM,880,55,2472,1
900402100722750,room000002,"{""stage"":1,""step"":1,""round"":4}",2120,1679677222327,phase 2,4,365,HAM,1,HAM,767,50,2120,1
900402100722750,room000002,"{""stage"":1,""step"":1,""round"":5}",2080,1679677231853,phase 2,5,132,PHISHING,1,HAM,736,50,2080,0
900402100722750,room000002,"{""stage"":1,""step"":1,""round"":6}",2032,1679677246610,phase 2,6,274,HAM,1,HAM,792,50,2032,1
900402100722750,room000002,"{""stage"":1,""step"":1,""round"":7}",2678,1679677258283,phase 2,7,284,HAM,0,PHISHING,1220,50,2678,0
900402100722750,room000002,"{""stage"":1,""step"":1,""round"":8}",3617,1679677269502,phase 2,8,91,PHISHING,0,PHISHING,1042,45,3617,1
